,cc_b3m1
739,-0.7092961573893355
740,-0.5875437859803689
741,-0.49158667758991115
742,-0.382765633578936
743,-0.21870683659122392
744,-0.5918781949761183
745,-0.24316691412150426
746,-0.40934447368005245
747,-0.4275345234530441
748,-0.30001957959295567
749,-0.6536938974304789
750,-0.4190752397566726
751,-0.8688669644227858
752,-0.5246128059714348
753,-0.40519769630514446
754,-0.45755311437570256
755,-0.5266329881676182
756,-0.4987955538809512
757,-0.4167854569407421
758,-0.3895886869890184
759,-0.33233357470381897
760,-0.7430283648195104
761,-0.48840256644740343
762,-0.6757109326779283
763,-0.6167912656505834
764,-0.16649836512566196
765,-0.6601361552099672
766,-0.35812321723352447
767,-0.9491576003136171
768,-0.595147308693166
769,-0.5157413184257056
770,-0.8155789120086023
771,-0.9029907728819779
772,-0.7297666863050267
773,-0.5120219818065745
774,-0.8320236654052025
775,-0.51982351935448
776,-0.37260678736117825
777,-0.4291742456791674
778,-0.7191436755898408
779,-0.4740594398930362
780,-0.4821330823554142
781,-0.7847386800290028
782,-0.6854797864370337
783,-0.4372555931660429
784,-0.6448305902703275
785,-0.2507804759073107
786,-0.8853064875410013
787,-0.5038010725340065
788,-0.25194960565667657
789,-0.3493265243155008
790,-0.5089634619975758
791,-0.5509911010135404
792,-0.6995624378912311
793,-0.4109860554378564
794,-0.9408098838428334
795,-0.6452989456147797
796,-0.6970749900727622
797,-0.49265757281484923
798,-0.5942729871697949
799,-0.6344908344647866
800,-0.780454276541473
801,-0.654160828145967
802,-0.8446070611638987
803,-0.7100322047316627
804,-0.842269555148011
805,-0.9177720422925564
806,-0.8956281959942274
807,-0.7320182093769745
808,-0.7113974500930045
809,-0.9772695806082847
810,-0.5647890495985628
811,-0.5281236177333195
812,-0.705101108586561
813,-0.6729606777744568
814,-0.682234052592694
815,-0.9799961361985776
